name,loc,par,if,switch,for,while,token,risk level
getBidi,14,2,2,0,0,0,170,moderate risk
coordsCharInner,28,5,5,0,2,1,357,moderate risk
endOperation_R1,10,1,1,0,0,0,123,moderate risk
viewCuttingPoint,23,4,7,0,1,1,228,moderate risk
resetInput,17,2,4,0,0,0,191,moderate risk
onMouseDown,32,1,8,1,0,0,207,moderate risk
leftButtonDown,19,3,2,0,0,0,202,moderate risk
leftButtonSelect,55,5,20,0,1,0,463,moderate risk
onKeyDown,16,1,5,0,0,0,151,moderate risk
onKeyPress,11,1,5,0,0,0,152,moderate risk
onContextMenu,33,2,14,0,0,0,305,moderate risk
makeChange,17,3,6,0,1,0,189,moderate risk
makeChangeSingleDocInEditor,34,3,10,0,0,0,382,moderate risk
calculateScrollPos,26,5,6,0,0,0,319,moderate risk
findWordAt,16,2,2,0,0,2,184,moderate risk
(anonymous),23,2,5,0,2,0,251,moderate risk
(anonymous),31,5,6,0,0,0,328,moderate risk
CodeMirror.resolveMode,14,1,3,0,0,0,142,moderate risk
CodeMirror.keyName,10,2,6,0,0,0,114,moderate risk
CodeMirror.fromTextArea,29,2,8,0,3,0,208,moderate risk
TextMarker.prototype.find,17,2,5,0,1,0,158,moderate risk
markedSpansBefore,11,3,2,0,0,0,166,moderate risk
markedSpansAfter,12,3,2,0,0,0,177,moderate risk
removeReadOnlyRanges,21,3,6,0,2,0,269,moderate risk
conflictingCollapsedRange,15,5,4,0,0,0,216,moderate risk
lineIsHiddenInner,15,3,3,0,1,0,173,moderate risk
runMode,31,7,8,0,0,2,288,moderate risk
elt,33,2,8,0,1,0,400,moderate risk
updateDoc,35,4,5,0,3,0,555,moderate risk
(anonymous),12,1,2,0,0,0,117,moderate risk
moveVisually,21,4,6,0,1,0,226,moderate risk
charType,9,1,1,0,0,0,96,moderate risk
noty,57,1,19,0,0,0,335,moderate risk
(anonymous),53,1,2,1,0,0,320,moderate risk
pr.onclick,13,0,1,0,1,0,169,moderate risk
getFromPrim,31,2,0,1,0,0,149,moderate risk
setAttr,69,1,6,0,4,0,431,moderate risk
Str,51,3,4,3,3,0,370,moderate risk
indexOf,16,2,5,0,1,0,171,moderate risk
lastIndexOf,20,2,5,0,1,0,182,moderate risk
(anonymous),77,0,35,0,9,0,374,moderate risk
request,32,1,5,0,0,0,314,moderate risk
respondToReadyState,27,1,3,0,0,0,225,moderate risk
update,38,2,5,0,2,3,313,moderate risk
addMethods,36,1,7,0,2,0,254,moderate risk
_begin,45,0,5,0,0,0,328,moderate risk
getOffsetParent,13,1,3,0,0,1,134,moderate risk
clonePosition,33,3,8,0,0,0,269,moderate risk
"""+""",19,2,3,0,1,1,147,moderate risk
CHILD,18,1,2,0,0,0,169,moderate risk
CHILD,47,2,7,1,1,2,254,moderate risk
ATTR,30,2,0,0,0,0,198,moderate risk
sortOrder,40,2,3,0,1,2,246,moderate risk
(anonymous),10,2,2,0,0,0,97,moderate risk
matchBrackets,19,3,5,0,2,0,258,moderate risk
validator,34,5,6,0,0,0,292,moderate risk
(anonymous),40,3,7,0,4,0,205,moderate risk
(anonymous),35,7,5,0,2,0,229,moderate risk
siblingCheck,17,2,4,0,0,1,95,moderate risk
sortOrder,23,2,5,0,0,0,152,moderate risk
sortOrder,38,2,1,0,0,3,228,moderate risk
Sizzle.matchesSelector,18,2,3,0,0,0,137,moderate risk
(anonymous),18,1,2,0,0,0,157,moderate risk
(anonymous),30,3,7,0,0,2,204,moderate risk
matcherFromTokens,37,1,3,0,2,0,319,moderate risk
select,47,4,8,0,0,1,348,moderate risk
fire,26,1,4,0,1,0,139,moderate risk
addClass,29,1,4,0,1,1,190,moderate risk
removeClass,29,1,3,0,1,2,209,moderate risk
(anonymous),20,0,3,0,0,1,139,moderate risk
get,24,1,2,0,1,0,175,moderate risk
attr,32,3,5,0,0,0,243,moderate risk
prop,21,3,3,0,0,0,158,moderate risk
dispatch,37,1,5,0,0,2,321,moderate risk
on,37,5,6,0,1,0,206,moderate risk
closest,21,2,1,0,2,0,162,moderate risk
(anonymous),25,1,4,0,1,0,179,moderate risk
domManip,50,3,10,0,2,0,384,moderate risk
clone,28,3,4,0,2,0,232,moderate risk
buildFragment,50,4,6,0,1,3,382,moderate risk
showHide,39,2,8,0,2,0,278,moderate risk
css,20,4,4,0,0,0,169,moderate risk
getWidthOrHeight,26,3,3,0,0,0,174,moderate risk
"""*""",28,2,2,0,0,0,250,moderate risk
(anonymous),27,0,5,0,2,0,191,moderate risk
(anonymous),23,1,4,0,0,0,194,moderate risk
(anonymous),31,2,6,0,0,0,194,moderate risk
_getPoints,44,0,3,0,1,0,542,moderate risk
(anonymous),22,1,3,0,2,0,135,moderate risk
(anonymous),40,3,7,0,4,0,205,moderate risk
(anonymous),35,7,5,0,2,0,229,moderate risk
siblingCheck,17,2,4,0,0,1,95,moderate risk
sortOrder,23,2,5,0,0,0,152,moderate risk
sortOrder,38,2,1,0,0,3,228,moderate risk
Sizzle.matchesSelector,18,2,3,0,0,0,137,moderate risk
(anonymous),18,1,2,0,0,0,157,moderate risk
(anonymous),30,3,7,0,0,2,204,moderate risk
matcherFromTokens,37,1,3,0,2,0,319,moderate risk
select,47,4,8,0,0,1,348,moderate risk
fire,26,1,4,0,1,0,139,moderate risk
internalRemoveData,51,3,11,0,0,1,308,moderate risk
addClass,29,1,4,0,1,1,190,moderate risk
removeClass,29,1,3,0,1,2,209,moderate risk
(anonymous),18,0,2,0,0,1,141,moderate risk
get,24,1,2,0,1,0,175,moderate risk
attr,32,3,5,0,0,0,243,moderate risk
removeAttr,21,2,3,0,0,1,151,moderate risk
prop,21,3,3,0,0,0,158,moderate risk
dispatch,37,1,5,0,0,2,321,moderate risk
fix,30,1,4,0,0,1,214,moderate risk
jQuery.Event,18,2,3,0,0,0,134,moderate risk
on,37,5,6,0,1,0,206,moderate risk
closest,21,2,1,0,2,0,160,moderate risk
(anonymous),29,1,4,0,1,0,220,moderate risk
fixCloneNodeIssues,34,2,6,0,1,0,278,moderate risk
getAll,19,2,2,0,1,0,159,moderate risk
clone,37,3,6,0,2,0,309,moderate risk
cleanData,36,2,6,0,2,0,219,moderate risk
showHide,39,2,8,0,2,0,278,moderate risk
css,20,4,4,0,0,0,169,moderate risk
curCSS,24,3,4,0,0,0,166,moderate risk
getWidthOrHeight,26,3,3,0,0,0,174,moderate risk
set,18,2,2,0,0,0,143,moderate risk
ajaxHandleResponses,39,3,8,0,2,1,216,moderate risk
(anonymous),23,3,5,0,0,0,217,moderate risk
callback,43,2,9,0,0,0,224,moderate risk
send,42,2,16,0,2,0,275,moderate risk
"""*""",28,2,2,0,0,0,250,moderate risk
(anonymous),27,0,5,0,2,0,191,moderate risk
setOffset,34,3,6,0,0,0,269,moderate risk
Actor.loop.forEach,29,1,12,0,0,0,256,moderate risk
+,25,1,13,1,2,0,245,moderate risk
Carousel.prototype.slide,38,2,6,0,0,0,308,moderate risk
Collapse.prototype.show,26,0,5,0,0,0,218,moderate risk
Dropdown.prototype.keydown,21,1,8,0,0,0,194,moderate risk
Modal.prototype.backdrop,26,1,4,0,0,0,206,moderate risk
ScrollSpy.prototype.process,21,0,2,0,1,0,189,moderate risk
Affix.prototype.checkPosition,35,0,13,0,0,0,379,moderate risk
